etf,holding_name,ticker,weight
SPY,NVIDIA CORP,NVDA,0.07770234999999999
SPY,APPLE INC,AAPL,0.06615229
SPY,MICROSOFT CORP,MSFT,0.051085979999999996
SPY,AMAZON.COM INC,AMZN,0.03321238
SPY,ALPHABET INC CL A,GOOGL,0.03074974
SPY,BROADCOM INC,AVGO,0.02674955
SPY,ALPHABET INC CL C,GOOG,0.02460565
SPY,META PLATFORMS INC CLASS A,META,0.02420608
SPY,TESLA INC,TSLA,0.02004472
SPY,BERKSHIRE HATHAWAY INC CL B,BRK.B,0.01568176
SPY,JPMORGAN CHASE + CO,JPM,0.01409075
SPY,ELI LILLY + CO,LLY,0.014082669999999999
SPY,EXXON MOBIL CORP,XOM,0.01081679
SPY,JOHNSON + JOHNSON,JNJ,0.01007955
SPY,WALMART INC,WMT,0.01002522
SPY,VISA INC CLASS A SHARES,V,0.00935929
SPY,MICRON TECHNOLOGY INC,MU,0.00794871
SPY,COSTCO WHOLESALE CORP,COST,0.00757246
SPY,MASTERCARD INC A,MA,0.00739849
SPY,ABBVIE INC,ABBV,0.006875750000000001
SPY,HOME DEPOT INC,HD,0.00664213
SPY,PROCTER + GAMBLE CO/THE,PG,0.00644374
SPY,CATERPILLAR INC,CAT,0.00606986
SPY,BANK OF AMERICA CORP,BAC,0.0060355700000000005
SPY,CHEVRON CORP,CVX,0.0059051699999999995
SPY,ADVANCED MICRO DEVICES,AMD,0.0057348
SPY,GENERAL ELECTRIC,GE,0.00564528
SPY,NETFLIX INC,NFLX,0.005498309999999999
SPY,COCA COLA CO/THE,KO,0.00523126
SPY,MERCK + CO. INC.,MRK,0.005062069999999999
SPY,CISCO SYSTEMS INC,CSCO,0.005055380000000001
SPY,PALANTIR TECHNOLOGIES INC A,PLTR,0.0050453
SPY,PHILIP MORRIS INTERNATIONAL,PM,0.00503069
SPY,LAM RESEARCH CORP,LRCX,0.00496866
SPY,GOLDMAN SACHS GROUP INC,GS,0.00464024
SPY,WELLS FARGO + CO,WFC,0.00463298
SPY,RTX CORP,RTX,0.00461417
SPY,ORACLE CORP,ORCL,0.0045011899999999995
SPY,APPLIED MATERIALS INC,AMAT,0.0044742
SPY,UNITEDHEALTH GROUP INC,UNH,0.0044042
SPY,INTL BUSINESS MACHINES CORP,IBM,0.004149030000000001
SPY,MCDONALD S CORP,MCD,0.00404455
SPY,PEPSICO INC,PEP,0.00390992
SPY,GE VERNOVA INC,GEV,0.0037887
SPY,LINDE PLC,LIN,0.00377606
SPY,VERIZON COMMUNICATIONS INC,VZ,0.00356762
SPY,INTEL CORP,INTC,0.0035641099999999997
SPY,AT+T INC,T,0.00349154
SPY,MORGAN STANLEY,MS,0.00347153
SPY,TEXAS INSTRUMENTS INC,TXN,0.00346504
SPY,CITIGROUP INC,C,0.00340113
SPY,AMGEN INC,AMGN,0.00334895
SPY,ABBOTT LABORATORIES,ABT,0.00331459
SPY,THERMO FISHER SCIENTIFIC INC,TMO,0.00327563
SPY,NEXTERA ENERGY INC,NEE,0.00327389
SPY,KLA CORP,KLAC,0.00325897
SPY,GILEAD SCIENCES INC,GILD,0.00322216
SPY,BOEING CO/THE,BA,0.00320495
SPY,AMERICAN EXPRESS CO,AXP,0.00315044
SPY,WALT DISNEY CO/THE,DIS,0.0031255500000000004
SPY,SALESFORCE INC,CRM,0.0030177199999999998
SPY,AMPHENOL CORP CL A,APH,0.0030074200000000002
SPY,TJX COMPANIES INC,TJX,0.00293315
SPY,INTUITIVE SURGICAL INC,ISRG,0.00290029
SPY,ANALOG DEVICES INC,ADI,0.00278642
SPY,LOWE S COS INC,LOW,0.00273715
SPY,SCHWAB (CHARLES) CORP,SCHW,0.00270554
SPY,PFIZER INC,PFE,0.0026704299999999997
SPY,UNION PACIFIC CORP,UNP,0.00265478
SPY,BLACKROCK INC,BLK,0.00260511
SPY,HONEYWELL INTERNATIONAL INC,HON,0.0026045200000000004
SPY,EATON CORP PLC,ETN,0.00259115
SPY,DEERE + CO,DE,0.0025700299999999996
SPY,QUALCOMM INC,QCOM,0.0025347900000000003
SPY,UBER TECHNOLOGIES INC,UBER,0.0025293900000000003
SPY,WELLTOWER INC,WELL,0.00244149
SPY,ARISTA NETWORKS INC,ANET,0.00238649
SPY,ACCENTURE PLC CL A,ACN,0.00235361
SPY,CONOCOPHILLIPS,COP,0.00234061
SPY,DANAHER CORP,DHR,0.00230936
SPY,BOOKING HOLDINGS INC,BKNG,0.00229159
SPY,CAPITAL ONE FINANCIAL CORP,COF,0.00224793
SPY,LOCKHEED MARTIN CORP,LMT,0.00222274
SPY,MEDTRONIC PLC,MDT,0.00221471
SPY,PALO ALTO NETWORKS INC,PANW,0.00221332
SPY,NEWMONT CORP,NEM,0.00220296
SPY,PROLOGIS INC,PLD,0.0021685899999999998
SPY,STRYKER CORP,SYK,0.00215192
SPY,PARKER HANNIFIN CORP,PH,0.0021225099999999998
SPY,S+P GLOBAL INC,SPGI,0.0021085599999999998
SPY,CHUBB LTD,CB,0.0020839499999999998
SPY,BRISTOL MYERS SQUIBB CO,BMY,0.00208251
SPY,PROGRESSIVE CORP,PGR,0.00205878
SPY,VERTEX PHARMACEUTICALS INC,VRTX,0.00202039
SPY,COMCAST CORP CLASS A,CMCSA,0.00198037
SPY,MCKESSON CORP,MCK,0.00193604
SPY,ALTRIA GROUP INC,MO,0.0019234299999999998
SPY,INTUIT INC,INTU,0.00189989
SPY,ADOBE INC,ADBE,0.00188165
SPY,BOSTON SCIENTIFIC CORP,BSX,0.00187753
SPY,STARBUCKS CORP,SBUX,0.0018676699999999999
SPY,CME GROUP INC,CME,0.00186223
SPY,SERVICENOW INC,NOW,0.0018348999999999998
SPY,CROWDSTRIKE HOLDINGS INC A,CRWD,0.00176852
