etf,holding_name,ticker,weight
QQQ,NVIDIA CORP,,0.0875
QQQ,APPLE INC,,0.07440000000000001
QQQ,MICROSOFT CORP,,0.0587
QQQ,AMAZON.COM INC,,0.0418
QQQ,TESLA INC,,0.040999999999999995
QQQ,META PLATFORMS INC,,0.037000000000000005
QQQ,WALMART INC,,0.0356
QQQ,ALPHABET INC CLASS A,,0.035
QQQ,ALPHABET INC CLASS C,,0.0326
QQQ,BROADCOM INC,,0.0302
QQQ,MICRON TECHNOLOGY INC,,0.0252
QQQ,COSTCO WHOLESALE CORP,,0.0245
QQQ,ADVANCED MICRO DEVICES INC,,0.0183
QQQ,NETFLIX INC,,0.0177
QQQ,CISCO SYSTEMS INC,,0.0165
QQQ,PALANTIR TECHNOLOGIES INC,,0.0163
QQQ,LAM RESEARCH CORP,,0.0161
QQQ,APPLIED MATERIALS INC,,0.0154
QQQ,T-MOBILE US INC,,0.013300000000000001
QQQ,PEPSICO INC,,0.0123
QQQ,LINDE PLC,,0.012199999999999999
QQQ,INTEL CORP,,0.0121
QQQ,TEXAS INSTRUMENTS INC,,0.011200000000000002
QQQ,AMGEN INC,,0.0109
QQQ,KLA CORP,,0.0105
QQQ,GILEAD SCIENCES INC,,0.0105
QQQ,INTUITIVE SURGICAL INC,,0.009399999999999999
QQQ,ANALOG DEVICES INC,,0.009000000000000001
QQQ,HONEYWELL INTERNATIONAL INC,,0.0083
QQQ,QUALCOMM INC,,0.008199999999999999
QQQ,SHOPIFY INC,,0.0075
QQQ,BOOKING HOLDINGS INC,,0.0073
QQQ,VERTEX PHARMACEUTICALS INC,,0.0068000000000000005
QQQ,ASML HOLDING NV,,0.0067
QQQ,APPLOVIN CORP,,0.006500000000000001
QQQ,PALO ALTO NETWORKS INC,,0.0063
QQQ,COMCAST CORP,,0.0062
QQQ,INTUIT INC,,0.006
QQQ,ADOBE INC,,0.006
QQQ,CROWDSTRIKE HOLDINGS INC,,0.0059
QQQ,STARBUCKS CORP,,0.0058
QQQ,CONSTELLATION ENERGY CORP,,0.005699999999999999
QQQ,MERCADOLIBRE INC,,0.0055000000000000005
QQQ,WESTERN DIGITAL CORP,,0.0052
QQQ,MARRIOTT INTERNATIONAL INC/MD,,0.0052
QQQ,SEAGATE TECHNOLOGY HOLDINGS PLC,,0.0049
QQQ,AUTOMATIC DATA PROCESSING INC,,0.004699999999999999
QQQ,REGENERON PHARMACEUTICALS INC,,0.0045000000000000005
QQQ,O'REILLY AUTOMOTIVE INC,,0.0044
QQQ,CADENCE DESIGN SYSTEMS INC,,0.0044
QQQ,SYNOPSYS INC,,0.0044
QQQ,MONDELEZ INTERNATIONAL INC,,0.0044
QQQ,MONSTER BEVERAGE CORP,,0.0043
QQQ,CINTAS CORP,,0.0042
QQQ,CSX CORP,,0.0040999999999999995
QQQ,AMERICAN ELECTRIC POWER CO INC,,0.0038
QQQ,WARNER BROS DISCOVERY INC,,0.0038
QQQ,MARVELL TECHNOLOGY INC,,0.0037
QQQ,PDD HOLDINGS INC,,0.0036
QQQ,PACCAR INC,,0.0036
QQQ,DOORDASH INC,,0.0034999999999999996
QQQ,ROSS STORES INC,,0.0034999999999999996
QQQ,FORTINET INC,,0.0034999999999999996
QQQ,NXP SEMICONDUCTORS NV,,0.0033
QQQ,BAKER HUGHES CO,,0.0033
QQQ,MONOLITHIC POWER SYSTEMS INC,,0.0031
QQQ,FASTENAL CO,,0.0029
QQQ,FERROVIAL SE,,0.0029
QQQ,AIRBNB INC,,0.0028000000000000004
QQQ,IDEXX LABORATORIES INC,,0.0027
QQQ,ELECTRONIC ARTS INC,,0.0027
QQQ,AUTODESK INC,,0.0027
QQQ,EXELON CORP,,0.0027
QQQ,DIAMONDBACK ENERGY INC,,0.0026
QQQ,XCEL ENERGY INC,,0.0026
QQQ,COCA-COLA EUROPACIFIC PARTNERS PLC,,0.0025
QQQ,MICROCHIP TECHNOLOGY INC,,0.0023
QQQ,ALNYLAM PHARMACEUTICALS INC,,0.0023
QQQ,DATADOG INC,,0.0022
QQQ,OLD DOMINION FREIGHT LINE INC,,0.0022
QQQ,KEURIG DR PEPPER INC,,0.0022
QQQ,THOMSON REUTERS CORP,,0.0021
QQQ,PAYPAL HOLDINGS INC,,0.002
QQQ,GE HEALTHCARE TECHNOLOGIES INC,,0.002
QQQ,COPART INC,,0.002
QQQ,STRATEGY INC,,0.0019
QQQ,TAKE-TWO INTERACTIVE SOFTWARE INC,,0.0019
QQQ,ROPER TECHNOLOGIES INC,,0.0019
QQQ,PAYCHEX INC,,0.0019
QQQ,AXON ENTERPRISE INC,,0.0018
QQQ,COGNIZANT TECHNOLOGY SOLUTIONS CORP,,0.0017000000000000001
QQQ,INSMED INC,,0.0017000000000000001
QQQ,CHARTER COMMUNICATIONS INC,,0.0017000000000000001
QQQ,WORKDAY INC,,0.0017000000000000001
QQQ,KRAFT HEINZ CO/THE,,0.0016
QQQ,ZSCALER INC,,0.0015
QQQ,DEXCOM INC,,0.0015
QQQ,VERISK ANALYTICS INC,,0.0014000000000000002
QQQ,COSTAR GROUP INC,,0.001
QQQ,ARM HOLDINGS PLC,,0.0009
QQQ,ATLASSIAN CORP,,0.0008
QQQ,CASH & EQUIVALENTS,,0.0008
QQQ,CME E-MINI NASDAQ 100 INDEX FUTURE,,0.0003
