etf,holding_name,ticker,weight
SCHD,LOCKHEED MARTIN CORP,LMT,0.0472
SCHD,TEXAS INSTRUMENT INC,TXN,0.0433
SCHD,VERIZON COMMUNICATIONS INC,VZ,0.0431
SCHD,CONOCOPHILLIPS,COP,0.0428
SCHD,CHEVRON CORP,CVX,0.0426
SCHD,BRISTOL MYERS SQUIBB,BMY,0.0416
SCHD,MERCK & CO INC,MRK,0.0413
SCHD,ALTRIA GROUP INC,MO,0.0406
SCHD,PEPSICO INC,PEP,0.04
SCHD,COCA-COLA,KO,0.0395
SCHD,HOME DEPOT INC,HD,0.0386
SCHD,AMGEN INC,AMGN,0.0376
SCHD,ABBVIE INC,ABBV,0.035
SCHD,CISCO SYSTEMS INC,CSCO,0.0342
SCHD,UNITED PARCEL SERVICE INC CLASS B,UPS,0.0317
SCHD,SLB NV,SLB,0.0275
SCHD,EOG RESOURCES INC,EOG,0.0233
SCHD,VALERO ENERGY CORP,VLO,0.0219
SCHD,FORD MOTOR,F,0.0199
SCHD,ONEOK INC,OKE,0.0194
SCHD,FASTENAL,FAST,0.019
SCHD,TARGET CORP,TGT,0.0186
SCHD,KIMBERLY CLARK CORP,KMB,0.0131
SCHD,FIFTH THIRD BANCORP,FITB,0.0128
SCHD,HERSHEY FOODS,HSY,0.0122
SCHD,ARCHER DANIELS MIDLAND,ADM,0.0122
SCHD,PAYCHEX INC,PAYX,0.0109
SCHD,HALLIBURTON,HAL,0.0105
SCHD,REGIONS FINANCIAL CORP,RF,0.0095
SCHD,GENERAL MILLS INC,GIS,0.0094
SCHD,CINCINNATI FINANCIAL CORP,CINF,0.0094
SCHD,DARDEN RESTAURANTS INC,DRI,0.009
SCHD,COTERRA ENERGY INC,CTRA,0.0085
SCHD,AMCOR PLC,AMCR,0.0084
SCHD,PACKAGING CORP OF AMERICA,PKG,0.008
SCHD,T ROWE PRICE GROUP INC,TROW,0.0074
SCHD,SNAP ON INC,SNA,0.0072
SCHD,EAST WEST BANCORP INC,EWBC,0.0059
SCHD,LYONDELLBASELL INDUSTRIES NV CLASS,LYB,0.0054
SCHD,CF INDUSTRIES HOLDINGS INC,CF,0.0053
SCHD,FIDELITY NATIONAL FINANCIAL INC,FNF,0.0053
SCHD,WATSCO INC,WSO,0.0053
SCHD,BEST BUY INC,BBY,0.0046
SCHD,OVINTIV INC,OVV,0.0042
SCHD,UNUM,UNM,0.004
SCHD,APA CORP,APA,0.0035
SCHD,COLUMBIA BANKING SYSTEM INC,COLB,0.0034
SCHD,SKYWORKS SOLUTIONS INC,SWKS,0.0033
SCHD,HF SINCLAIR CORP,DINO,0.0033
SCHD,AMERICAN FINANCIAL GROUP INC,AFG,0.0032
SCHD,AUTOLIV INC,ALV,0.0032
SCHD,NEXSTAR MEDIA GROUP INC,NXST,0.0024
SCHD,JANUS HENDERSON GROUP PLC,JHG,0.0022
SCHD,BANK OZK,OZK,0.0019
SCHD,WHIRLPOOL CORP,WHR,0.0018
SCHD,VAIL RESORTS INC,MTN,0.0018
SCHD,MOELIS CLASS A,MC,0.0017
SCHD,RADIAN GROUP INC,RDN,0.0017
SCHD,MURPHY OIL CORP,MUR,0.0016
SCHD,MSC INDUSTRIAL INC CLASS A,MSM,0.0015
SCHD,FEDERATED HERMES INC CLASS B,FHI,0.0015
SCHD,INTERNATIONAL BANCSHARES CORP,IBOC,0.0014
SCHD,SIGNET JEWELERS LTD,SIG,0.0013
SCHD,CATHAY GENERAL BANCORP,CATY,0.0013
SCHD,WESTERN UNION,WU,0.0011
SCHD,ARTISAN PARTNERS ASSET MANAGEMENT,APAM,0.0011
SCHD,CVB FINANCIAL CORP,CVBF,0.001
SCHD,ROBERT HALF INC,RHI,0.0009
SCHD,FLOWERS FOODS INC,FLO,0.0009
SCHD,SSC GOVERNMENT MM GVMXX,GVMXX,0.0009
SCHD,BANNER CORP,BANR,0.0008
SCHD,HUNTSMAN CORP,HUN,0.0008
SCHD,NORTHWEST BANCSHARES INC,NWBI,0.0007
SCHD,FIRST COMMONWEALTH FINANCIAL CORP,FCF,0.0007
SCHD,OFG BANCORP,OFG,0.0007
SCHD,INTERPARFUMS INC,IPAR,0.0007
SCHD,COHEN & STEERS INC,CNS,0.0007
SCHD,CITY HOLDING,CHCO,0.0007
SCHD,FMC CORP,FMC,0.0007
SCHD,S AND T BANCORP INC,STBA,0.0006
SCHD,GERMAN AMERICAN BANCORP INC,GABC,0.0006
SCHD,BUCKLE INC,BKE,0.0006
SCHD,LAKELAND FINANCIAL CORP,LKFN,0.0006
SCHD,CARTERS INC,CRI,0.0005
SCHD,CLEARWAY ENERGY INC CLASS A,CWENA,0.0005
SCHD,1ST SOURCE CORP,SRCE,0.0005
SCHD,WENDYS,WEN,0.0004
SCHD,CNA FINANCIAL CORP,CNA,0.0004
SCHD,PREFERRED BANK,PFBC,0.0004
SCHD,INSPERITY INC,NSP,0.0003
SCHD,CENTRAL PACIFIC FINANCIAL CORP,CPF,0.0003
SCHD,VIRTUS INVESTMENT PARTNERS INC,VRTS,0.0003
SCHD,FIRST FINANCIAL CORPORATION CORP,THFF,0.0003
SCHD,AMERISAFE INC,AMSF,0.0003
SCHD,ETHAN ALLEN INTERIORS INC,ETD,0.0002
SCHD,OXFORD INDUSTRIES INC,OXM,0.0002
SCHD,ENNIS INC,EBF,0.0002
SCHD,KFORCE INC,KFRC,0.0002
SCHD,US DOLLAR,USD,0.0001
