,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2379504,NVIDIA Corp,NVDA,7.83%,Semiconductors,US,---,"$118,321,417,727.43 ","619,062,511"
,2046251,Apple Inc,AAPL,6.46%,"Technology Hardware, Storage & Peripherals",US,---,"$97,679,279,141.60 ","376,442,420"
,2588173,Microsoft Corp,MSFT,5.39%,Systems Software,US,---,"$81,473,550,495.75 ","189,345,675"
,2000019,Amazon.com Inc,AMZN,3.92%,Broadline Retail,US,---,"$59,306,487,392.30 ","247,833,211"
,BYVY8G0,Alphabet Inc,GOOGL,3.31%,Interactive Media & Services,US,---,"$50,098,813,934.00 ","148,221,343"
,BYY88Y7,Alphabet Inc,GOOG,2.65%,Interactive Media & Services,US,---,"$40,102,912,084.95 ","118,461,915"
,BDZ78H9,Broadcom Inc,AVGO,2.64%,Semiconductors,US,---,"$39,857,650,459.90 ","120,306,823"
,B7TL820,Meta Platforms Inc,META,2.63%,Interactive Media & Services,US,---,"$39,754,045,972.50 ","55,483,665"
,B616C79,Tesla Inc,TSLA,2.04%,Automobile Manufacturers,US,---,"$30,810,961,829.04 ","71,585,144"
,2073390,Berkshire Hathaway Inc,BRK/B,1.48%,Multi-Sector Holdings,US,---,"$22,448,233,813.16 ","46,715,572"
,2516152,Eli Lilly & Co,LLY,1.39%,Pharmaceuticals,US,---,"$20,982,501,789.45 ","20,230,923"
,2190385,JPMorgan Chase & Co,JPM,1.34%,Diversified Banks,US,---,"$20,273,037,777.98 ","66,275,582"
,2326618,Exxon Mobil Corp,XOM,1.00%,Integrated Oil & Gas,US,---,"$15,191,683,568.60 ","107,437,649"
,2475833,Johnson & Johnson,JNJ,0.92%,Pharmaceuticals,US,---,"$13,948,158,681.00 ","61,378,036"
,B2PZN04,Visa Inc,V,0.90%,Transaction & Payment Processing Services,US,---,"$13,563,292,988.74 ","42,144,278"
,2936921,Walmart Inc,WMT,0.88%,Consumer Staples Merchandise Retail,US,---,"$13,309,581,774.58 ","111,713,797"
,2588184,Micron Technology Inc,MU,0.78%,Semiconductors,US,---,"$11,863,651,254.40 ","28,595,380"
,B121557,Mastercard Inc,MA,0.74%,Transaction & Payment Processing Services,US,---,"$11,254,833,878.68 ","20,889,092"
,2701271,Costco Wholesale Corp,COST,0.70%,Consumer Staples Merchandise Retail,US,---,"$10,615,679,188.25 ","11,290,273"
,B92SR70,AbbVie Inc,ABBV,0.66%,Biotechnology,US,---,"$10,041,223,951.91 ","45,025,891"
,2007849,Advanced Micro Devices Inc,AMD,0.65%,Semiconductors,US,---,"$9,818,453,450.52 ","41,475,324"
,2434209,Home Depot Inc/The,HD,0.63%,Home Improvement Retail,US,---,"$9,499,035,270.74 ","25,358,486"
,2704407,Procter & Gamble Co/The,PG,0.60%,Household Products,US,---,"$9,035,027,154.96 ","59,531,048"
,2857817,Netflix Inc,NFLX,0.60%,Movies & Entertainment,US,---,"$9,012,763,700.82 ","107,950,218"
,2295677,Bank of America Corp,BAC,0.59%,Diversified Banks,US,---,"$8,852,053,868.00 ","166,391,990"
,BN78DQ4,Palantir Technologies Inc,PLTR,0.56%,Application Software,US,---,"$8,530,869,696.19 ","58,195,441"
,2838555,Chevron Corp,CVX,0.56%,Integrated Oil & Gas,US,---,"$8,530,125,252.90 ","48,220,041"
,BL59CR9,General Electric Co,GE,0.55%,Aerospace & Defense,US,---,"$8,244,101,069.49 ","26,872,131"
,2198163,Cisco Systems Inc,CSCO,0.52%,Communications Equipment,US,---,"$7,862,804,430.80 ","100,393,315"
,2180201,Caterpillar Inc,CAT,0.52%,Construction Machinery & Heavy Transportation Equipment,US,---,"$7,838,054,967.60 ","11,923,535"
,BSML4N7,Lam Research Corp,LRCX,0.49%,Semiconductor Materials & Equipment,US,---,"$7,470,345,063.24 ","31,998,394"
,2206657,Coca-Cola Co/The,KO,0.49%,Soft Drinks & Non-alcoholic Beverages,US,---,"$7,378,656,852.79 ","98,631,959"
,2005973,International Business Machines Corp,IBM,0.48%,IT Consulting & Other Services,US,---,"$7,303,849,490.40 ","23,814,312"
,2649100,Wells Fargo & Co,WFC,0.48%,Diversified Banks,US,---,"$7,236,605,651.70 ","79,971,330"
,B2PKRQ3,Philip Morris International Inc,PM,0.47%,Tobacco,US,---,"$7,116,444,874.16 ","39,659,189"
,2661568,Oracle Corp,ORCL,0.47%,Systems Software,US,---,"$7,052,212,677.90 ","42,849,755"
,2778844,Merck & Co Inc,MRK,0.46%,Pharmaceuticals,US,---,"$6,972,770,726.05 ","63,233,615"
,2407966,Goldman Sachs Group Inc/The,GS,0.46%,Investment Banking & Brokerage,US,---,"$6,888,753,983.02 ","7,364,422"
,BM5M5Y3,RTX Corp,RTX,0.45%,Aerospace & Defense,US,---,"$6,863,568,271.86 ","34,159,002"
,2917766,UnitedHealth Group Inc,UNH,0.44%,Managed Health Care,US,---,"$6,621,547,308.46 ","23,077,222"
,2046552,Applied Materials Inc,AMAT,0.43%,Semiconductor Materials & Equipment,US,---,"$6,541,723,561.44 ","20,295,742"
,2550707,McDonald's Corp,MCD,0.38%,Restaurants,US,---,"$5,715,022,320.00 ","18,142,928"
,2262314,Morgan Stanley,MS,0.37%,Investment Banking & Brokerage,US,---,"$5,625,213,548.40 ","30,772,503"
