holding_name,portfolio_weight
NVIDIA CORP,0.060875587499999995
APPLE INC,0.051288072500000004
MICROSOFT CORP,0.040921495
AMAZON.COM INC,0.028553095
BROADCOM INC,0.020837387500000002
TESLA INC,0.02036118
META PLATFORMS INC,0.015825000000000002
CISCO SYSTEMS INC,0.015238845
PEPSICO INC,0.01492748
ALPHABET INC,0.0149
AMGEN INC,0.0137372375
WALMART INC,0.013606304999999999
CHEVRON CORP,0.0135262925
LOCKHEED MARTIN CORP,0.012905685
VERIZON COMMUNICATIONS INC,0.012466905
ABBVIE INC,0.012118937500000001
CONOCOPHILLIPS,0.0118351525
MERCK & CO INC,0.011475
HOME DEPOT INC,0.011310532500000001
ALTRIA GROUP INC,0.0110808575
TEXAS INSTRUMENT INC,0.010825
BRISTOL MYERS SQUIBB,0.0104
MICRON TECHNOLOGY INC,0.0102371775
COCA-COLA,0.009875
COSTCO WHOLESALE CORP,0.009768115
ALPHABET INC CLASS A,0.00875
ALPHABET INC CLASS C,0.00815
UNITED PARCEL SERVICE INC CLASS B,0.007925
ALPHABET INC CL A,0.007687435
NETFLIX INC,0.0072995774999999995
SLB NV,0.006875
LAM RESEARCH CORP,0.006492164999999999
EOG RESOURCES INC,0.006348755
ADVANCED MICRO DEVICES INC,0.006200000000000001
ALPHABET INC CL C,0.0061514125
META PLATFORMS INC CLASS A,0.00605152
APPLIED MATERIALS INC,0.00604355
VALERO ENERGY CORP,0.00595712
PALANTIR TECHNOLOGIES INC,0.005475
ONEOK INC,0.0052771375
EXXON MOBIL CORP,0.0052041975
TARGET CORP,0.00506913
FORD MOTOR,0.004975
LINDE PLC,0.004894015
INTEL CORP,0.0047910274999999995
FASTENAL,0.00475
TEXAS INSTRUMENTS INC,0.00449126
KLA CORP,0.0042397425
GILEAD SCIENCES INC,0.00418054
BERKSHIRE HATHAWAY INC CL B,0.00392044
INTUITIVE SURGICAL INC,0.0038250724999999994
T-MOBILE US INC,0.0037250000000000004
BERKSHIRE HATHAWAY INC,0.0037
FIFTH THIRD BANCORP,0.0036044225
ANALOG DEVICES INC,0.003596605
JPMORGAN CHASE + CO,0.0035226875
ELI LILLY + CO,0.0035206674999999996
PAYCHEX INC,0.0034782249999999997
ELI LILLY & CO,0.003475
KIMBERLY CLARK CORP,0.0034287325
QUALCOMM INC,0.0033586974999999996
JPMORGAN CHASE & CO,0.00335
HONEYWELL INTERNATIONAL INC,0.00332613
BOOKING HOLDINGS INC,0.0030728975000000004
ARCHER DANIELS MIDLAND,0.00305
HERSHEY FOODS,0.00305
BANK OF AMERICA CORP,0.0029838925
CATERPILLAR INC,0.002817465
VERTEX PHARMACEUTICALS INC,0.0027050975000000002
PALO ALTO NETWORKS INC,0.00262833
HALLIBURTON,0.002625
REGIONS FINANCIAL CORP,0.00258679
GENERAL MILLS INC,0.0025610875000000003
CINCINNATI FINANCIAL CORP,0.0025602850000000003
INTUIT INC,0.0025499725
JOHNSON + JOHNSON,0.0025198875
ADOBE INC,0.0024954125
DARDEN RESTAURANTS INC,0.0024559925
STARBUCKS CORP,0.0023669175
VISA INC CLASS A SHARES,0.0023398225
COTERRA ENERGY INC,0.0023250075
ORACLE CORP,0.0023002974999999995
JOHNSON & JOHNSON,0.0023
RTX CORP,0.0022785425000000003
AMCOR PLC,0.0022732625
VISA INC,0.0022500000000000003
UNITEDHEALTH GROUP INC,0.00220105
APPLOVIN CORP,0.0021750000000000003
PACKAGING CORP OF AMERICA,0.00216816
WESTERN DIGITAL CORP,0.0020658275
T ROWE PRICE GROUP INC,0.0020375025000000002
COMCAST CORP,0.002
CROWDSTRIKE HOLDINGS INC,0.00195
SNAP ON INC,0.0018840375
SHOPIFY INC,0.001875
MASTERCARD INC,0.00185
MASTERCARD INC A,0.0018496225
SYNOPSYS INC,0.00181164
CONSTELLATION ENERGY CORP,0.0018
MORGAN STANLEY,0.0017928825000000002
GE VERNOVA INC,0.001772175
THERMO FISHER SCIENTIFIC INC,0.0017439075
CITIGROUP INC,0.0017002825000000002
ASML HOLDING NV,0.001675
CSX CORP,0.0016486975
WALT DISNEY CO/THE,0.0016313875000000002
ABBOTT LABORATORIES,0.0016286475000000002
CINTAS CORP,0.00161111
PROCTER + GAMBLE CO/THE,0.001610935
SALESFORCE INC,0.00160443
MARRIOTT INTERNATIONAL INC/MD,0.0015999999999999999
AUTOMATIC DATA PROCESSING INC,0.0015999999999999999
SEAGATE TECHNOLOGY HOLDINGS PLC,0.0015999999999999999
NEXTERA ENERGY INC,0.0015934725
AMERICAN EXPRESS CO,0.0015876100000000001
BOEING CO/THE,0.0015762375
HOME DEPOT INC/THE,0.001575
MONSTER BEVERAGE CORP,0.0015726575
WARNER BROS DISCOVERY INC,0.0015229000000000002
PROCTER & GAMBLE CO/THE,0.0015
EAST WEST BANCORP INC,0.001475
PACCAR INC,0.00145523
